accuracy,loss,val_accuracy,val_loss
0.20742753148078918,4.578754901885986,0.23143115639686584,3.897590160369873
0.3335597813129425,3.258796453475952,0.40013587474823,2.8299155235290527
0.4674479067325592,2.4658267498016357,0.49252718687057495,2.4452686309814453
0.5847486257553101,1.8858314752578735,0.6052989363670349,2.094942092895508
0.6667232513427734,1.4778386354446411,0.61277174949646,2.157217264175415
0.7168818116188049,1.1875780820846558,0.6591938138008118,2.1754393577575684
0.7611526250839233,0.9762120842933655,0.6745923757553101,2.126312255859375
0.7883265614509583,0.839731752872467,0.6865941882133484,2.36698055267334
0.8131227493286133,0.7074286341667175,0.673233687877655,2.5405688285827637
0.8308423757553101,0.6335582733154297,0.6913496255874634,2.543736457824707
0.8450520634651184,0.5752047300338745,0.6981431245803833,2.779639959335327
0.8637341260910034,0.49932894110679626,0.6906703114509583,2.9418482780456543
0.8713201880455017,0.45846131443977356,0.6854619383811951,2.9402787685394287
